clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia(opcional),max(opcional),min(opcional),reorden(opcional)
ABR8/12A1,,,,,,,10,,,
ABR41/4,,,,,,,10,,,
ACEMOBI ATF D/M,,,,,,,8,,,
ACEMOB15W,,,,,,,3,,,
ROYALPURPLE,,,,,,,0,,,
ACEITETPMA,,,,,,,4,,,
ANCL12,,,,,,,0,,,
ancl500pz,,,,,,,51,,,
APA15A120W,,,,,,,0,,,
BARR54W,,,,,,,96,,,
BATERIAENERGIZER9V,,,,,,,2,,,
BAT2RES6V,,,,,,,5,,,
BALER51103,,,,,,,4,,,
BAL11MM,,,,,,,1,,,
BICPMAZUL,,,,,,,26,,,
BICPMNEGRO,,,,,,,12,,,
BROCHALABUENA2,,,,,,,0,,,
BROCH11P1D2A,,,,,,,6,,,
BROCHALA BUENA3,,,,,,,3,,,
FKTKR02P1A3A,,,,,,,0,,,
CG2000,,,,,,,0,,,
CARD6X11/8,,,,,,,4,,,
CEPMADBRO,,,,,,,22,,,
CINRAF914,,,,,,,1,,,
CINTANAV,,,,,,,39,,,
CINTANAV,,,,,,,2,,,
CINTA33MEX3/4,,,,,,,7,,,
CNTGRIS2X60,,,,,,,1,,,
CIADMEG,,,,,,,2,,,
CINTINDUS3M,,,,,,,1,,,
CINTEF01P1B2C,,,,,,,11,,,
CINTTEFL25MM,,,,,,,0,,,
CINTTEF19mm,,,,,,,0,,,
"CINCA2""",,,,,,,30,,,
CINDEDAL18MMX18,,,,,,,16,,,
"CINTTAP1""",,,,,,,53,,,
CINTAZU2X33,,,,,,,14,,,
CINTAZU2X33,,,,,,,4,,,
CLACOOAMA2867,,,,,,,3,,,
CLAVI20A,,,,,,,2,,,
CON270,,,,,,,0,,,
CONTA2887,,,,,,,7,,,
CONTACLEV5320,,,,,,,*,,,
CUELL2699,,,,,,,3,,,
DIS/AUX582,,,,,,,4,,,
DISME250X1.6,,,,,,,6,,,
FRA03826,,,,,,,9,,,
"ESP2""",,,,,,,1,,,
ESPRIGMGO,,,,,,,1,,,
FIBR744PZA,,,,,,,38,,,
FLPLNEG1/2,,,,,,,3,,,
FOCOAH25WA,,,,,,,2,,,
FUFNQ10J1P1F,,,,,,,1,,,
FUS10AMP600V,,,,,,,0,,,
CREDESNAR3.78,,,,,,,0,,,
GRC2500,,,,,,,0,,,
"GRAP1""CO",,,,,,,2,,,
GRAPOFIC,,,,,,,2,,,
GUNATL1M,,,,,,,0,,,
GUANTEJAPONESGR,,,,,,,287,,,
GUAT10S610,,,,,,,316,,,
GUANT6S610,,,,,,,558,,,
GUANT6S610,,,,,,,825,,,
GUANT8S610,,,,,,,696,,,
GUANT8S610,,,,,,,633,,,
HOJIMP01,,,,,,,55,,,
SEGURIDADLENTES,,,,,,,29,,,
LIJ3X48R821,,,,,,,40,,,
LIJC99,,,,,,,6,,,
LI/AGUAG80,,,,,,,16,,,
LIJAA99G400,,,,,,,16,,,
LIJG220PZK2B,,,,,,,11,,,
LIJAP/AGUA A-99,,,,,,,11,,,
"LIMAPLAMU10"" ",,,,,,,2,,,
"LIMAPLANTRU6""",,,,,,,3,,,
3344745,,,,,,,2,,,
LIMPDC,,,,,,,4,,,
LOC495-03,,,,,,,3,,,
MANDIL35X45,,,,,,,0,,,
MANANT02,,,,,,,36,,,
SHAAZUPFINO,,,,,,,12,,,
SHANEGPFINO,,,,,,,5,,,
SHAROJPFINO,,,,,,,10,,,
MARCP.FVER,,,,,,,13,,,
MUÑEL/M,,,,,,,24,,,
NIPL1/4,,,,,,,10,,,
NIPL1/8,,,,,,,10,,,
OVERDESECHA,,,,,,,0,,,
PERILLARANAP/WC,,,,,,,,,,
BATERIAENERGIZERAA,,,,,,,28,,,
BAT01AA,,,,,,,27,,,
SPRAMAAOO,,,,,,,4,,,
SPRAZULBYPAMM,,,,,,,4,,,
SPRBLANBRI,,,,,,,0,,,
SPRAYNGOBYP,,,,,,,6,,,
SPRAYNMBYP,,,,,,,1,,,
SPRBYPROJ,,,,,,,4,,,
SPRBYPVEROSC,,,,,,,4,,,
PINZAPCONICA170M,,,,,,,2,,,
REPPROD,,,,,,,0,,,
RONDANA3/8,,,,,,,64,,,
"RONDANA PLANA 1""",,,,,,,5,,,
RONSP1/4,,,,,,,105,,,
RONDP3/4,,,,,,,0,,,
RONP5/16,,,,,,,61,,,
SEGHOJSB6,,,,,,,5,,,
SEGBIHE,,,,,,,,,,
SILIBLANC280ML,,,,,,,2,,,
SILIROJO280ML,,,,,,,2,,,
SILIC02P1Z5C,,,,,,,2,,,
SOLD60131/8,,,,,,,2.5,,,
SOL3/32,,,,,,,1.5,,,
SOL70185/32,,,,,,,1.5,,,
SOLD1/2-1/2,,,,,,,4,,,
PELICULA18X60X1300FT,,,,,,,11,,,
"SUJE14""",,,,,,,195,,,
SUJETA8X.14,,,,,,,96,,,
SUJECAB4,,,,,,,187,,,
SWIT01,,,,,,,3,,,
TAPA2X4#86003,,,,,,,7,,,
TAPA2X4CIEGA,,,,,,,,,,
TAP2X4LH049973,,,,,,,6,,,
TAPA2X4#8600,,,,,,,6,,,
TAPONC/REUSABLE,,,,,,,14,,,
TAP6MM1/4,,,,,,,10,,,
TAQUBR,,,,,,,1,,,
TERMINALBRO,,,,,,,4,,,
CINTEF01P1B2C,,,,,,,11,,,
TIJERB06,,,,,,,1,,,
TRAPKGCOLOR,,,,,,,133,,,
UMARKA20AMA,,,,,,,9,,,
UMARKAZUL,,,,,,,24,,,
UMARKBLANCO,,,,,,,21,,,
UMARKNARANJA,,,,,,,19,,,
UMARKNGOA20,,,,,,,7,,,
UMARKROJO,,,,,,,23,,,
UMARKA20VERD,,,,,,,21,,,
2794008,,,,,,,0,,,
WD40AFLOJATODO10110,,,,,,,2,,,
TS1/4-20X1/2,,,,,,,*,,,
TOR10-32X34,,,,,,,14,,,
TFLT8-32,,,,,,,41,,,
TORNH1/2,,,,,,,10,,,
TH5/16X1,,,,,,,10,,,
TORS1/2-13,,,,,,,25,,,
TS1/2-13,,,,,,,23,,,
TOR1/2-13X2,,,,,,,25,,,
TS1/4-20,,,,,,,4,,,
TS1/4-201/4,,,,,,,9,,,
TORNIS1/4X1,,,,,,,13,,,
TS1/4-20X2,,,,,,,20,,,
TOR1/420,,,,,,,0,,,
TS1/4-203/4,,,,,,,11,,,
TOR1/4-20,,,,,,,8,,,
TORNS1/4,,,,,,,15,,,
TORNSKT,,,,,,,14,,,
TS10-241/2,,,,,,,25,,,
TORNSOC10-24,,,,,,,100,,,
TSO10-32,,,,,,,38,,,
TORSOCL3/4,,,,,,,39,,,
TORNS10-32,,,,,,,44,,,
TOR3/8X1/4,,,,,,,0,,,
TS5/16-18,,,,,,,0,,,
TS5/61/4,,,,,,,7,,,
TRSO5/16,,,,,,,25,,,
TRSOC5/16,,,,,,,20,,,
TS5/16-18X4,,,,,,,14,,,
TSO5/6-18,,,,,,,13,,,
TSKT5/811X2,,,,,,,10,,,
TSK5/811,,,,,,,10,,,
TRSOC5/8,,,,,,,5,,,
TORNSKTM1020,,,,,,,10,,,
TORSOKM12,,,,,,,6,,,
TORNSKTM12,,,,,,,10,,,
TORSOCKM4,,,,,,,6,,,
TORSOCKM5,,,,,,,1,,,
TSOKM5,,,,,,,10,,,
TORSOKM612,,,,,,,14,,,
TORNIM6X14,,,,,,,10,,,
TORSKTM16,,,,,,,0,,,
TORNSKTM6,,,,,,,5,,,
TORSKTM6,,,,,,,9,,,
