clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
ABR12MM1/2,ABR12MM1/2,ABRAZADERA COLGANTE 13MM 1/2 CLIP 12,ABRAZADERA COLGANTE 13MM 1/2 CLIP 12,3.63,,,100,100,20,60
ABR3/4,ABR3/4,ABRAZADERA COLGANTE 19MM 3/4 CLIP 34,ABRAZADERA COLGANTE 19MM 3/4 CLIP 34,3.99,,,100,100,20,60
ABR25MM,ABR25MM,"ABRAZADERA COLGANTE 25 MM 1"" CLIP 100","ABRAZADERA COLGANTE 25 MM 1"" CLIP 100",4.88,,,100,100,20,60
ABR-61/2,ABR-61/2,"ABRAZADERA SIN FIN  ML-6 1/2"" A 7/8"" HS--6M (BANDA DELGADA)","ABRAZADERA SIN FIN  ML-6 1/2"" A 7/8"" HS--6M (BANDA DELGADA)",4.99,,,100,100,20,60
ABR8/12A1,ABR8/12A1,ABRAZADERA SIN FIN L- 8 1/2 A-1    HS-8,ABRAZADERA SIN FIN L- 8 1/2 A-1    HS-8,5.34,,,100,100,20,60
ABRASINF,ABRASINF,"ABRAZADERA SIN FIN L-16 3/4"" A 1 1/2"" HS-16","ABRAZADERA SIN FIN L-16 3/4"" A 1 1/2"" HS-16",4.99,,,100,100,20,60
ABRAS,ABRAS,ABRAZADERA SIN FIN L-28 1 1/2 A 2 1/4 HS--28,ABRAZADERA SIN FIN L-28 1 1/2 A 2 1/4 HS--28,4.65,,,100,100,20,60
ABR41/4,ABR41/4,ABRAZADERA SIN FIN ML-4 1/4 A 5/8 HS-4M,ABRAZADERA SIN FIN ML-4 1/4 A 5/8 HS-4M,5.01,,,100,100,20,60
2794008,2794008,AFLOJATODO 11 OZ 110078 WD-40,AFLOJATODO 11 OZ 110078 WD-40,92.41,,,100,100,20,60
WD40AFLOJATODO4LTS,WD40AFLOJATODO4LTS,AFLOJATODO GALON 4LTS 10110 WD-40,AFLOJATODO GALON 4LTS 10110 WD-40,341.05,,,100,100,20,60
WD40AFLOJATODO10110,WD40AFLOJATODO10110,AFLOJATODO WD-40 GALON 4LTS 10110,AFLOJATODO WD-40 GALON 4LTS 10110,341.05,,,100,100,20,60
AGUAP/BACTOPTI,AGUAP/BACTOPTI,AGUA PARA BATERIA OPTIMUS GALON,AGUA PARA BATERIA OPTIMUS GALON,96.58,,,100,100,20,60
ALCOISO20L,ALCOISO20L,ALCOHOL ISOPROPILICO PORRON 20 L,ALCOHOL ISOPROPILICO PORRON 20 L,931,,,100,100,20,60
ANCL12,ANCL12,"ANCLA ARPON 1/2"" X 5½ AA 12 512","ANCLA ARPON 1/2"" X 5½ AA 12 512",9.56,,,100,100,20,60
ANCL1/4X3/4,ANCL1/4X3/4,ANCLA ARPON 1/4 X  3 1/4 AA 14 314,ANCLA ARPON 1/4 X  3 1/4 AA 14 314,2.38,,,100,100,20,60
ANCLA3/8X3/4,ANCLA3/8X3/4,ANCLA ARPON 3/8 X 3 3/4 AA38334,ANCLA ARPON 3/8 X 3 3/4 AA38334,7.25,,,100,100,20,60
ANCLA/8,ANCLA/8,"ANCLA ARPON 5/8"" X 6"" AA 58 600","ANCLA ARPON 5/8"" X 6"" AA 58 600",18.62,,,100,100,20,60
ANTICONGAL,ANTICONGAL,ANTICONGELANTE PRESTONE GALON,ANTICONGELANTE PRESTONE GALON,293.3,,,100,100,20,60
APA15A120W,APA15A120W,APAGADOR L.A. SENC 15A 120V MARF #1451-ICP LEVITON,APAGADOR L.A. SENC 15A 120V MARF #1451-ICP LEVITON,23.24,,,100,100,20,60
BALAS44X32,BALAS44X32,BALASTRA 4 X 32 120V/277 T8 PHILLIPS ICN4P32N73M N683-1,BALASTRA 4 X 32 120V/277 T8 PHILLIPS ICN4P32N73M N683-1,219.1,,,100,100,20,60
BA32W,BA32W,BARRA 32 W. BLANCO FRIO T8 841 PHILLIPS 272492/281550 (4000),BARRA 32 W. BLANCO FRIO T8 841 PHILLIPS 272492/281550 (4000),18.19,,,100,100,20,60
BAR32WLUZ,BAR32WLUZ,BARRA 32 W. LUZ DE DIA T8 5000K PILLIPS 281568,BARRA 32 W. LUZ DE DIA T8 5000K PILLIPS 281568,21.22,,,100,100,20,60
BARR32W,BARR32W,BARRA CIRCULAR 32W 6400K FCL32,BARRA CIRCULAR 32W 6400K FCL32,46.2,,,100,100,20,60
